Country Code,Year,Series Name,Series Code,Value
MAR,2021,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1621385379
MAR,2021,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.594223214
MAR,2021,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2264148625
MAR,2021,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.452579869
MAR,2021,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,642763246.5
MAR,2021,GDP (current US$),NY.GDP.MKTP.CD,1.42022E+11
MAR,2021,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.154738898
MAR,2021,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,26947035785
MAR,2021,Gini index,SI.POV.GINI,0
MAR,2021,Gross national expenditure (current US$),NE.DAB.TOTL.CD,1.55161E+11
MAR,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.40195884
MAR,2021,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.415203557
MAR,2021,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.415203557
MAR,2021,Military expenditure (current USD),MS.MIL.XPND.CD,5378366535
MAR,2021,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,-19967262331
MAR,2021,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,-13124927044
MAR,2021,Trade (% of GDP),NE.TRD.GNFS.ZS,75.52341718
MAR,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.89087437
MAR,2022,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1654898394
MAR,2022,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.7520598
MAR,2022,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2294356059
MAR,2022,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.488314821
MAR,2022,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,639457665
MAR,2022,GDP (current US$),NY.GDP.MKTP.CD,1.30952E+11
MAR,2022,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.52720358
MAR,2022,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,24958122799
MAR,2022,Gini index,SI.POV.GINI,0
MAR,2022,Gross national expenditure (current US$),NE.DAB.TOTL.CD,1.46023E+11
MAR,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.657042028
MAR,2022,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.661861206
MAR,2022,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.661861206
MAR,2022,Military expenditure (current USD),MS.MIL.XPND.CD,4995028074
MAR,2022,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,-26462302460
MAR,2022,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,-15234615256
MAR,2022,Trade (% of GDP),NE.TRD.GNFS.ZS,101.1323821
MAR,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.02661062
MAR,2023,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-260042951.6
MAR,2023,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.758899868
MAR,2023,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1095981206
MAR,2023,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.578836049
MAR,2023,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,835938254.4
MAR,2023,GDP (current US$),NY.GDP.MKTP.CD,1.44417E+11
MAR,2023,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.403341301
MAR,2023,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,26148496308
MAR,2023,Gini index,SI.POV.GINI,0
MAR,2023,Gross national expenditure (current US$),NE.DAB.TOTL.CD,1.56385E+11
MAR,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.091141525
MAR,2023,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.360948882
MAR,2023,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,6.360948882
MAR,2023,Military expenditure (current USD),MS.MIL.XPND.CD,5184928400
MAR,2023,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,-25112417350
MAR,2023,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,-12012711189
MAR,2023,Trade (% of GDP),NE.TRD.GNFS.ZS,93.79140306
MAR,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.17557992
ABW,2021,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-138400826.4
ABW,2021,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.55871502
ABW,2021,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,133545121.2
ABW,2021,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-0.165755037
ABW,2021,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-4855705.246
ABW,2021,GDP (current US$),NY.GDP.MKTP.CD,2929446578
ABW,2021,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,24.13262736
ABW,2021,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,668842625.7
ABW,2021,Gini index,SI.POV.GINI,0
ABW,2021,Gross national expenditure (current US$),NE.DAB.TOTL.CD,3091605811
ABW,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0
ABW,2021,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-4.912624904
ABW,2021,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,-4.912624904
ABW,2021,Military expenditure (current USD),MS.MIL.XPND.CD,0
ABW,2021,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,-937882882.1
ABW,2021,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,253587682.8
ABW,2021,Trade (% of GDP),NE.TRD.GNFS.ZS,147.0155761
ABW,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,101.1957269
ABW,2022,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-124694278.1
ABW,2022,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,7.567071864
ABW,2022,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,248150282.6
ABW,2022,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,3.764656031
ABW,2022,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,123456004.5
ABW,2022,GDP (current US$),NY.GDP.MKTP.CD,3279343544
ABW,2022,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.517918105
ABW,2022,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,695475453.1
ABW,2022,Gini index,SI.POV.GINI,0
ABW,2022,Gross national expenditure (current US$),NE.DAB.TOTL.CD,3205348811
ABW,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0
ABW,2022,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.157279394
ABW,2022,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.157279394
ABW,2022,Military expenditure (current USD),MS.MIL.XPND.CD,0
ABW,2022,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,-1165472109
ABW,2022,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,423839378.9
ABW,2022,Trade (% of GDP),NE.TRD.GNFS.ZS,172.8841711
ABW,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,113.0012868
ABW,2023,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
ABW,2023,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.506331286
ABW,2023,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,91445330
ABW,2023,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,2.506331286
ABW,2023,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,91445330
ABW,2023,GDP (current US$),NY.GDP.MKTP.CD,3648573136
ABW,2023,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.263719415
ABW,2023,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,713751151
ABW,2023,Gini index,SI.POV.GINI,0
ABW,2023,Gross national expenditure (current US$),NE.DAB.TOTL.CD,3397212355
ABW,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0
ABW,2023,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.709461177
ABW,2023,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,6.709461177
ABW,2023,Military expenditure (current USD),MS.MIL.XPND.CD,0
ABW,2023,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
ABW,2023,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
ABW,2023,Trade (% of GDP),NE.TRD.GNFS.ZS,169.7982829
ABW,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,0
AFE,2021,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
AFE,2021,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,5.01205928
AFE,2021,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,53552809031
AFE,2021,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.02350388
AFE,2021,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,207504807.2
AFE,2021,GDP (current US$),NY.GDP.MKTP.CD,1.08575E+12
AFE,2021,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.576392802
AFE,2021,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,1.59075E+11
AFE,2021,Gini index,SI.POV.GINI,0
AFE,2021,Gross national expenditure (current US$),NE.DAB.TOTL.CD,1.08562E+12
