Country Code,Year,Series Name,Series Code,Value
MAR,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
MAR,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.2535
MAR,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,18.6408
MAR,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
MAR,2021,Forest area (% of land area),AG.LND.FRST.ZS,12.89033542
MAR,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,10.9
MAR,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.957243949
MAR,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
MAR,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.2054
MAR,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,17.5324
MAR,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
MAR,2022,Forest area (% of land area),AG.LND.FRST.ZS,12.91368788
MAR,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
MAR,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.851694862
MAR,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
MAR,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.1669
MAR,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,17.3964
MAR,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
MAR,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
MAR,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
