Country Code,Year,Series Name,Series Code,Value
MAR,2021,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,76.398
MAR,2021,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.893
MAR,2021,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.042
MAR,2021,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,0
MAR,2021,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,0
MAR,2021,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,0
MAR,2021,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,0
MAR,2021,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,86.84331424
MAR,2021,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,74.59271296
MAR,2021,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,0
MAR,2021,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,0
MAR,2021,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,0
MAR,2021,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,25.34
MAR,2021,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,14.64
MAR,2021,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,25.96
MAR,2021,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.28
MAR,2021,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,31.76
MAR,2022,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.177
MAR,2022,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,72.896
MAR,2022,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.973
MAR,2022,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,77.34999847
MAR,2022,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,98.51999664
MAR,2022,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,0
MAR,2022,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,0
MAR,2022,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,87.01945849
MAR,2022,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,74.82419935
MAR,2022,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,0
MAR,2022,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,0
MAR,2022,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,0
MAR,2022,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,25.85
MAR,2022,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,13.05
MAR,2022,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,24.96
MAR,2022,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.79
