Country Code,Year,Series Name,Series Code,Value
MAR,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,4.870951222
MAR,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
MAR,2021,Classification of national industry,SPI.D5.2.3.CNIN,0.5
MAR,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
MAR,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
MAR,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
MAR,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.988484024
MAR,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,5.132165107
MAR,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
MAR,2022,Classification of national industry,SPI.D5.2.3.CNIN,0.5
MAR,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
MAR,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
MAR,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
MAR,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,10.16066024
MAR,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,4.756239321
MAR,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
MAR,2023,Classification of national industry,SPI.D5.2.3.CNIN,0.5
MAR,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
MAR,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
MAR,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
MAR,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,10.1314261
ABW,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1.981206032
ABW,2021,Classification of household consumption,SPI.D5.2.5.HOUS,0
ABW,2021,Classification of national industry,SPI.D5.2.3.CNIN,0
ABW,2021,Classification of status of employment,SPI.D5.2.6.EMPL,0
ABW,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ABW,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
ABW,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79
ABW,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.005967712
ABW,2022,Classification of household consumption,SPI.D5.2.5.HOUS,0
ABW,2022,Classification of national industry,SPI.D5.2.3.CNIN,0
ABW,2022,Classification of status of employment,SPI.D5.2.6.EMPL,0
ABW,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ABW,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
ABW,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79
ABW,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.126148351
ABW,2023,Classification of household consumption,SPI.D5.2.5.HOUS,0
ABW,2023,Classification of national industry,SPI.D5.2.3.CNIN,0
ABW,2023,Classification of status of employment,SPI.D5.2.6.EMPL,0
ABW,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ABW,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
ABW,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79
AFE,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFE,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AFE,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFE,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AFE,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFE,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AFG,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFG,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
AFG,2021,Classification of national industry,SPI.D5.2.3.CNIN,0
AFG,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
AFG,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5
AFG,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AFG,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AFG,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFG,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
AFG,2022,Classification of national industry,SPI.D5.2.3.CNIN,0
AFG,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
AFG,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5
AFG,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AFG,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AFG,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFG,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
AFG,2023,Classification of national industry,SPI.D5.2.3.CNIN,0
AFG,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
AFG,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5
AFG,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AFG,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AFW,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFW,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AFW,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFW,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AFW,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFW,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AGO,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1.188834705
AGO,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
AGO,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
AGO,2021,Classification of status of employment,SPI.D5.2.6.EMPL,0
AGO,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AGO,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AGO,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,631.4419555
AGO,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1.663746817
AGO,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
AGO,2022,Classification of national industry,SPI.D5.2.3.CNIN,1
AGO,2022,Classification of status of employment,SPI.D5.2.6.EMPL,0
AGO,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AGO,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AGO,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,460.5675116
AGO,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1.53531021
AGO,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
AGO,2023,Classification of national industry,SPI.D5.2.3.CNIN,1
AGO,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
AGO,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AGO,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AGO,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,685.0202378
ALB,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.712734022
ALB,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
ALB,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
ALB,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
