country_code,year,LifeExpectancy_Female,LifeExpectancy_Male,LifeExpectancy_Total,LiteracyRate_AdultTotal,LiteracyRate_YouthTotal,Multidim_PovertyHeadcountRatio_UNDP,Multidim_PovertyHeadcountRatio_WorldBank,Water_BasicDrinkingServices_PercentofPop,Water_SafelyManagedDrinkingServices_PercentofPop,Water_BasicHandwashing_PercentofPop,Poverty_HeadcountRatio_NationalPovertyLines_Percent,Poverty_HeadcountRatio_SocietalPovertyLines_Percent,Unemployment_AdvancedEducation_Percent,Unemployment_BasicEducation_Percent,Unemployment_IntermediateEducation_Percent,Unemployment_Total_Percent,Unemployment_YouthTotal_Percent,country_name,region,Unemployment_AdvanceEducation_Percent
ABW,2021,77.315,71.798,74.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aruba,Latin America and the Caribbean,0.0
ABW,2022,77.681,72.145,74.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aruba,Latin America and the Caribbean,0.0
ABW,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aruba,Latin America and the Caribbean,0.0
AFE,2021,65.07317028,59.88979714,62.44909279,72.63890839,82.80454254,0.0,0.0,58.37755609,0.0,19.9986675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa Eastern and Southern,Region Summary,0.0
AFE,2022,65.48035337,60.35237885,62.88846323,72.98155975,83.03627014,0.0,0.0,59.10746119,0.0,20.16313627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa Eastern and Southern,Region Summary,0.0
AFE,2023,0.0,0.0,0.0,73.27510834,83.22039032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa Eastern and Southern,Region Summary,0.0
AFG,2021,65.279,58.915,61.982,37.0,56.0,0.0,0.0,79.69307846,29.313843,47.36894465,0.0,0.0,9.781,6.754,8.879,5.679,8.785,Afghanistan,South Asia,9.781
AFG,2022,66.213,59.766,62.879,0.0,62.65999985,0.0,0.0,82.17537112,30.03409813,48.21469648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,South Asia,0.0
AFG,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,South Asia,0.0
AFW,2021,58.03559735,55.88093733,56.94647481,60.0073204,71.26612091,0.0,0.0,73.03746311,29.32165491,27.19149438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa Western and Central,Region Summary,0.0
