country_code,year,ElectricityAccess_PercentofPopulation,CO2Emissions_Agriculture,CO2Emissions_TransportEnergy,CO2Emissions_Waste,ForestArea_PercentofLand,RenewableEnergy_Consumption_Percent,GreenhouseGasEmissions_TotalperCapita,id,country_name,region,regional_median
ARG,2023,0.0,2.4059,47.4454,0.012,0.0,0.0,8.030246824,,Argentina,Latin America and the Caribbean,3.523066439
BGR,2023,0.0,0.7915,9.4078,0.0013,0.0,0.0,8.279144528,,Bulgaria,Europe and Central Asia,6.5015912305
BRA,2023,0.0,13.2291,216.8353,0.3025,0.0,0.0,6.157830875,,Brazil,Latin America and the Caribbean,3.523066439
CAN,2023,0.0,3.7928,166.3535,0.1068,0.0,0.0,18.64637779,,Canada,North America,18.06254835
CHE,2023,0.0,0.0547,14.6636,0.0085,0.0,0.0,4.888157673,,Switzerland,Europe and Central Asia,6.5015912305
CHL,2023,0.0,0.3962,31.9471,0.0088,0.0,0.0,6.178550255,,Chile,Latin America and the Caribbean,3.523066439
CHN,2023,0.0,15.0616,1077.7615,3.6358,0.0,0.0,11.30210079,,China,East Asia and Pacific,3.598782713
COL,2023,0.0,0.6396,36.7,0.0189,0.0,0.0,4.280612935,,Colombia,Latin America and the Caribbean,3.523066439
CZE,2023,0.0,0.1359,19.3862,0.0563,0.0,0.0,10.53368534,,Czechia,Europe and Central Asia,6.5015912305
DEU,2023,0.0,0.566,139.7212,0.0309,0.0,0.0,8.186963256,,Germany,Europe and Central Asia,6.5015912305
ECU,2023,0.0,0.5457,21.8914,0.0047,0.0,0.0,4.093674095,,Ecuador,Latin America and the Caribbean,3.523066439
ESP,2023,0.0,0.889,92.1021,4.1758,0.0,0.0,5.902714306,,Spain,Europe and Central Asia,6.5015912305
FRA,2023,0.0,2.2318,122.2146,2.3339,0.0,0.0,5.645545281,,France,Europe and Central Asia,6.5015912305
GBR,2023,0.0,1.436,108.4809,0.0543,0.0,0.0,5.549650329,,United Kingdom,Europe and Central Asia,6.5015912305
GRC,2023,0.0,0.143,17.5708,0.0017,0.0,0.0,6.656615657,,Greece,Europe and Central Asia,6.5015912305
GRL,2023,0.0,0.0,0.0957,0.0011,0.0,0.0,11.38310033,,Greenland,Europe and Central Asia,6.5015912305
HKG,2023,0.0,0.0,6.4518,0.0112,0.0,0.0,5.330051353,,"Hong Kong SAR, China",East Asia and Pacific,3.598782713
HND,2023,0.0,0.0,4.9575,0.0334,0.0,0.0,2.153163064,,Honduras,Latin America and the Caribbean,3.523066439
HUN,2023,0.0,0.1725,14.251,0.0188,0.0,0.0,6.351711695,,Hungary,Europe and Central Asia,6.5015912305
IDN,2023,0.0,5.8916,149.5385,0.1743,0.0,0.0,4.268286618,,Indonesia,East Asia and Pacific,3.598782713
IRL,2023,0.0,0.1786,11.1129,0.0087,0.0,0.0,10.90008667,,Ireland,Europe and Central Asia,6.5015912305
ITA,2023,0.0,0.7826,102.7268,0.4051,0.0,0.0,6.341789495,,Italy,Europe and Central Asia,6.5015912305
JPN,2023,0.0,0.5735,179.633,3.221,0.0,0.0,8.360430513,,Japan,East Asia and Pacific,3.598782713
KEN,2023,0.0,0.2002,10.6148,0.0015,0.0,0.0,1.562588886,,Kenya,Sub-Saharan Africa,1.562588886
KHM,2023,0.0,0.0,7.3642,0.013,0.0,0.0,2.799307617,,Cambodia,East Asia and Pacific,3.598782713
KOR,2023,0.0,0.4551,106.1251,1.6148,0.0,0.0,12.64384037,,"Korea, Rep.",East Asia and Pacific,3.598782713
MEX,2023,0.0,2.6511,130.2114,0.5063,0.0,0.0,5.488696029,,Mexico,Latin America and the Caribbean,3.523066439
MKD,2023,0.0,0.021,2.4894,0.02,0.0,0.0,6.22053861,,North Macedonia,Europe and Central Asia,6.5015912305
MMR,2023,0.0,1.1967,5.3645,0.047,0.0,0.0,2.125793945,,Myanmar,East Asia and Pacific,3.598782713
MYS,2023,0.0,1.3999,66.3485,0.078,0.0,0.0,9.263879729,,Malaysia,East Asia and Pacific,3.598782713
NOR,2023,0.0,0.0053,13.4938,0.0512,0.0,0.0,10.27559273,,Norway,Europe and Central Asia,6.5015912305
NZL,2023,0.0,0.9066,15.9996,0.0021,0.0,0.0,16.12257089,,New Zealand,East Asia and Pacific,3.598782713
PER,2023,0.0,1.1853,24.0271,0.0097,0.0,0.0,2.778755666,,Peru,Latin America and the Caribbean,3.523066439
PHL,2023,0.0,1.1389,36.4537,0.1537,0.0,0.0,2.229476254,,Philippines,East Asia and Pacific,3.598782713
POL,2023,0.0,1.6528,67.9125,0.1963,0.0,0.0,9.916065626,,Poland,Europe and Central Asia,6.5015912305
PRK,2023,0.0,0.0254,4.9264,0.0112,0.0,0.0,3.41236293,,"Korea, Dem. People's Rep.",East Asia and Pacific,3.598782713
PRT,2023,0.0,0.0321,15.7814,0.2051,0.0,0.0,5.010751383,,Portugal,Europe and Central Asia,6.5015912305
ROU,2023,0.0,0.8442,20.7788,0.0047,0.0,0.0,5.553792945,,Romania,Europe and Central Asia,6.5015912305
SGP,2023,0.0,0.0,6.7113,0.042,0.0,0.0,12.55399105,,Singapore,East Asia and Pacific,3.598782713
SVN,2023,0.0,0.0027,4.7757,0.0049,0.0,0.0,7.542463644,,Slovenia,Europe and Central Asia,6.5015912305
SWE,2023,0.0,0.0153,13.3122,0.1556,0.0,0.0,4.661679368,,Sweden,Europe and Central Asia,6.5015912305
THA,2023,0.0,2.1042,79.7893,0.0189,0.0,0.0,6.147392344,,Thailand,East Asia and Pacific,3.598782713
UKR,2023,0.0,2.387,22.2331,0.0128,0.0,0.0,5.726916471,,Ukraine,Europe and Central Asia,6.5015912305
VEN,2023,0.0,0.105,17.6502,0.0179,0.0,0.0,5.38463963,,"Venezuela, RB",Latin America and the Caribbean,3.523066439
VNM,2023,0.0,2.6305,39.3183,0.052,0.0,0.0,5.222940222,,Viet Nam,East Asia and Pacific,3.598782713
MLI,2022,53.0,0.1636,3.4212,0.0105,10.89666363,71.1,1.562588886,,Mali,Sub-Saharan Africa,1.562588886
MLI,2021,53.4,0.1744,3.267,0.0101,10.89666363,71.2,2.028967382,,Mali,Sub-Saharan Africa,1.562588886
ETH,2021,54.2,0.4032,7.1509,0.0015,15.05930418,90.6,1.562588886,,Ethiopia,Sub-Saharan Africa,1.562588886
PRK,2022,54.7,0.0254,4.602,0.0111,49.72701603,0.0,3.254692714,,"Korea, Dem. People's Rep.",East Asia and Pacific,3.598782713
MMR,2021,72.5,0.99,4.9609,0.0455,43.29014663,62.9,2.23293821,,Myanmar,East Asia and Pacific,3.598782713
MMR,2022,73.7,1.0868,5.1964,0.0463,42.84626228,0.0,2.201351803,,Myanmar,East Asia and Pacific,3.598782713
KHM,2022,92.3,0.0,7.1808,0.0126,43.94397235,0.0,2.76711218,,Cambodia,East Asia and Pacific,3.598782713
HND,2021,94.1,0.0,4.5973,0.0318,56.6476897,45.9,2.088917098,,Honduras,Latin America and the Caribbean,3.523066439
HND,2022,94.4,0.0,4.6589,0.0326,56.46045223,0.0,2.112650078,,Honduras,Latin America and the Caribbean,3.523066439
PHL,2022,94.8,1.1971,34.8475,0.1508,24.34305933,0.0,2.145634365,,Philippines,East Asia and Pacific,3.598782713
PER,2021,95.6,1.2647,21.5476,0.0094,56.37307289,30.6,2.653315029,,Peru,Latin America and the Caribbean,3.523066439
PER,2022,96.2,1.225,23.1808,0.0095,56.23804773,0.0,2.754285097,,Peru,Latin America and the Caribbean,3.523066439
PHL,2021,97.5,1.2693,31.7788,0.148,24.22604554,28.0,2.125638202,,Philippines,East Asia and Pacific,3.598782713
IDN,2021,99.2,5.8428,135.6674,0.1672,48.36194487,20.2,3.891766792,,Indonesia,East Asia and Pacific,3.598782713
BRA,2021,99.5,12.832,200.1659,0.2965,59.2705275,46.5,6.177569476,,Brazil,Latin America and the Caribbean,3.523066439
THA,2022,99.9,2.1495,78.8804,0.0186,38.75785394,0.0,6.168401347,,Thailand,East Asia and Pacific,3.598782713
ALB,2021,100.0,0.0483,1.7487,0.0028,28.7919708,41.9,2.985880969,,Albania,Europe and Central Asia,6.5015912305
ARG,2021,100.0,2.1242,46.9494,0.0117,10.40076395,9.2,8.1128999,,Argentina,Latin America and the Caribbean,3.523066439
ARG,2022,100.0,2.2706,49.2634,0.0118,10.3611378,0.0,8.253217325,,Argentina,Latin America and the Caribbean,3.523066439
AUS,2021,100.0,3.2157,87.607,0.0157,17.42131456,12.3,3.598782713,,Australia,East Asia and Pacific,3.598782713
BLR,2022,100.0,0.4689,9.6305,0.0131,43.33513966,0.0,9.406418741,,Belarus,Europe and Central Asia,6.5015912305
BRA,2022,100.0,12.9799,212.577,0.2995,59.12751189,0.0,6.174273857,,Brazil,Latin America and the Caribbean,3.523066439
CAN,2021,100.0,3.694,156.9292,0.1143,39.47012793,23.8,19.04473039,,Canada,North America,18.06254835
CAN,2022,100.0,3.7035,164.2478,0.1105,39.46592,0.0,19.13875621,,Canada,North America,18.06254835
CHE,2021,100.0,0.0431,14.6239,0.0088,32.20860332,27.7,5.368631517,,Switzerland,Europe and Central Asia,6.5015912305
CHE,2022,100.0,0.0484,14.4444,0.0086,32.2956707,0.0,4.963229262,,Switzerland,Europe and Central Asia,6.5015912305
CHL,2021,100.0,0.3692,27.8142,0.0083,24.65747271,24.2,6.439589287,,Chile,Latin America and the Caribbean,3.523066439
CHL,2022,100.0,0.3818,31.1985,0.0085,24.82277373,0.0,6.412712583,,Chile,Latin America and the Caribbean,3.523066439
CHN,2021,100.0,15.9153,969.4479,3.4822,23.63152827,15.2,10.74486611,,China,East Asia and Pacific,3.598782713
