country_code,year,BroadMoney_Ratio,Classification_HouseholdConsumption,Classification_NationalIndustry,Classification_StatusofEmployment,GovernmentFinance_Stats,MonetaryandFinancial_Stats,OfficialExchangeRate,country_name,region
ABW,2021,1.981206032,0.0,0.0,0.0,0.0,0.0,1.79,Aruba,Latin America and the Caribbean
ABW,2022,2.005967712,0.0,0.0,0.0,0.0,0.0,1.79,Aruba,Latin America and the Caribbean
ABW,2023,2.126148351,0.0,0.0,0.0,0.0,0.0,1.79,Aruba,Latin America and the Caribbean
AND,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.845376564,Andorra,Europe and Central Asia
AND,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.950915534,Andorra,Europe and Central Asia
ASM,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,American Samoa,East Asia and Pacific
ASM,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,American Samoa,East Asia and Pacific
ASM,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,American Samoa,East Asia and Pacific
BMU,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bermuda,North America
BMU,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bermuda,North America
BMU,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Bermuda,North America
BTN,2021,2.302222644,1.0,0.0,1.0,0.0,1.0,73.91801282,Bhutan,South Asia
BTN,2022,3.041880724,1.0,0.0,1.0,0.0,1.0,78.60449058,Bhutan,South Asia
BTN,2023,3.807070514,1.0,0.0,1.0,0.0,1.0,82.59927645,Bhutan,South Asia
CHI,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.727064945,Channel Islands,Europe and Central Asia
CHI,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.811301716,Channel Islands,Europe and Central Asia
CHI,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.804538907,Channel Islands,Europe and Central Asia
COG,2021,4.809480251,1.0,0.0,0.0,0.0,1.0,554.530675,"Congo, Rep.",Sub-Saharan Africa
COG,2022,4.618268678,1.0,0.0,0.0,0.0,1.0,623.7597009,"Congo, Rep.",Sub-Saharan Africa
COG,2023,6.08226717,1.0,0.0,1.0,0.0,1.0,606.5697502,"Congo, Rep.",Sub-Saharan Africa
COM,2021,1.431811839,1.0,0.0,1.0,0.0,1.0,415.9558491,Comoros,Sub-Saharan Africa
COM,2022,1.590425703,1.0,0.0,1.0,0.0,1.0,467.1842612,Comoros,Sub-Saharan Africa
COM,2023,1.561278572,1.0,0.0,1.0,0.0,1.0,454.9912367,Comoros,Sub-Saharan Africa
CPV,2021,2.967947621,1.0,0.0,1.0,0.0,1.0,93.21809241,Cabo Verde,Sub-Saharan Africa
CPV,2022,2.944795881,1.0,0.0,1.0,0.0,1.0,104.8630658,Cabo Verde,Sub-Saharan Africa
CPV,2023,2.806756359,1.0,0.0,1.0,0.0,1.0,101.8048125,Cabo Verde,Sub-Saharan Africa
CUB,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cuba,Latin America and the Caribbean
CUB,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cuba,Latin America and the Caribbean
CUB,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cuba,Latin America and the Caribbean
CUW,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.79,Curacao,Latin America and the Caribbean
CUW,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.79,Curacao,Latin America and the Caribbean
CUW,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.79,Curacao,Latin America and the Caribbean
CYM,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.83333,Cayman Islands,Latin America and the Caribbean
CYM,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.83333,Cayman Islands,Latin America and the Caribbean
CYM,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.83333,Cayman Islands,Latin America and the Caribbean
ERI,2021,0.0,0.0,0.0,0.0,0.0,1.0,15.075,Eritrea,Sub-Saharan Africa
ERI,2022,0.0,0.0,0.0,0.0,0.0,1.0,15.075,Eritrea,Sub-Saharan Africa
ERI,2023,0.0,0.0,0.0,0.0,0.0,1.0,15.075,Eritrea,Sub-Saharan Africa
FRO,2021,0.0,0.0,0.0,0.0,0.0,0.0,6.287113083,Faroe Islands,Europe and Central Asia
FRO,2022,0.0,0.0,0.0,0.0,0.0,0.0,7.076151863,Faroe Islands,Europe and Central Asia
FRO,2023,0.0,0.0,0.0,0.0,0.0,0.0,6.889702586,Faroe Islands,Europe and Central Asia
FSM,2021,0.668160841,1.0,0.0,1.0,0.0,0.0,1.0,"Micronesia, Fed. Sts.",East Asia and Pacific
FSM,2022,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"Micronesia, Fed. Sts.",East Asia and Pacific
FSM,2023,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"Micronesia, Fed. Sts.",East Asia and Pacific
GIB,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.727064945,Gibraltar,Europe and Central Asia
GIB,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.811301716,Gibraltar,Europe and Central Asia
GIB,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.804538907,Gibraltar,Europe and Central Asia
GIN,2021,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Guinea,Sub-Saharan Africa
GIN,2022,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Guinea,Sub-Saharan Africa
GIN,2023,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Guinea,Sub-Saharan Africa
GNB,2021,0.0,0.0,0.0,0.0,0.0,1.0,554.530675,Guinea-Bissau,Sub-Saharan Africa
